,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
752,DC,CSK,CSK,6 wickets,Delhi,"Mar 26, 2019",Twenty20
753,RR,Kings XI,Kings XI,14 runs,Jaipur,"Mar 25, 2019",Twenty20
754,MI,DC,DC,37 runs,Wankhede,"Mar 24, 2019",Twenty20
755,KKR,SRH,KKR,6 wickets,Eden Gardens,"Mar 24, 2019",Twenty20
756,CSK,RCB,CSK,7 wickets,Chennai,"Mar 23, 2019",Twenty20
757,DC,MI,MI,5 wickets,Dubai (DICS),"Nov 10, 2020",Twenty20
758,DC,SRH,DC,17 runs,Abu Dhabi,"Nov 8, 2020",Twenty20
759,RCB,SRH,SRH,6 wickets,Abu Dhabi,"Nov 6, 2020",Twenty20
760,DC,MI,MI,57 runs,Dubai (DICS),"Nov 5, 2020",Twenty20
761,SRH,MI,SRH,10 wickets,Sharjah,"Nov 3, 2020",Twenty20
762,DC,RCB,DC,6 wickets,Abu Dhabi,"Nov 2, 2020",Twenty20
763,KKR,RR,KKR,60 runs,Dubai (DICS),"Nov 1, 2020",Twenty20
764,CSK,Kings XI,CSK,9 wickets,Abu Dhabi,"Nov 1, 2020",Twenty20
765,RCB,SRH,SRH,5 wickets,Sharjah,"Oct 31, 2020",Twenty20
766,DC,MI,MI,9 wickets,Dubai (DICS),"Oct 31, 2020",Twenty20
767,Kings XI,RR,RR,7 wickets,Abu Dhabi,"Oct 30, 2020",Twenty20
768,CSK,KKR,CSK,6 wickets,Dubai (DICS),"Oct 29, 2020",Twenty20
769,MI,RCB,MI,5 wickets,Abu Dhabi,"Oct 28, 2020",Twenty20
770,SRH,DC,SRH,88 runs,Dubai (DICS),"Oct 27, 2020",Twenty20
771,KKR,Kings XI,Kings XI,8 wickets,Sharjah,"Oct 26, 2020",Twenty20
772,RR,MI,RR,8 wickets,Abu Dhabi,"Oct 25, 2020",Twenty20
773,RCB,CSK,CSK,8 wickets,Dubai (DICS),"Oct 25, 2020",Twenty20
774,Kings XI,SRH,Kings XI,12 runs,Dubai (DICS),"Oct 24, 2020",Twenty20
775,KKR,DC,KKR,59 runs,Abu Dhabi,"Oct 24, 2020",Twenty20
776,CSK,MI,MI,10 wickets,Sharjah,"Oct 23, 2020",Twenty20
777,RR,SRH,SRH,8 wickets,Dubai (DICS),"Oct 22, 2020",Twenty20
778,KKR,RCB,RCB,8 wickets,Abu Dhabi,"Oct 21, 2020",Twenty20
779,Kings XI,DC,Kings XI,5 wickets,Dubai (DICS),"Oct 20, 2020",Twenty20
780,CSK,RR,RR,7 wickets,Abu Dhabi,"Oct 19, 2020",Twenty20
781,MI,Kings XI,tied,-,Dubai (DICS),"Oct 18, 2020",Twenty20
782,SRH,KKR,tied,-,Abu Dhabi,"Oct 18, 2020",Twenty20
783,DC,CSK,DC,5 wickets,Sharjah,"Oct 17, 2020",Twenty20
784,RR,RCB,RCB,7 wickets,Dubai (DICS),"Oct 17, 2020",Twenty20
785,MI,KKR,MI,8 wickets,Abu Dhabi,"Oct 16, 2020",Twenty20
786,RCB,Kings XI,Kings XI,8 wickets,Sharjah,"Oct 15, 2020",Twenty20
787,DC,RR,DC,13 runs,Dubai (DICS),"Oct 14, 2020",Twenty20
788,SRH,CSK,CSK,20 runs,Dubai (DICS),"Oct 13, 2020",Twenty20
789,RCB,KKR,RCB,82 runs,Sharjah,"Oct 12, 2020",Twenty20
790,MI,DC,MI,5 wickets,Abu Dhabi,"Oct 11, 2020",Twenty20
791,SRH,RR,RR,5 wickets,Dubai (DICS),"Oct 11, 2020",Twenty20
792,CSK,RCB,RCB,37 runs,Dubai (DICS),"Oct 10, 2020",Twenty20
793,Kings XI,KKR,KKR,2 runs,Abu Dhabi,"Oct 10, 2020",Twenty20
794,RR,DC,DC,46 runs,Sharjah,"Oct 9, 2020",Twenty20
795,SRH,Kings XI,SRH,69 runs,Dubai (DICS),"Oct 8, 2020",Twenty20
796,KKR,CSK,KKR,10 runs,Abu Dhabi,"Oct 7, 2020",Twenty20
797,MI,RR,MI,57 runs,Abu Dhabi,"Oct 6, 2020",Twenty20
798,RCB,DC,DC,59 runs,Dubai (DICS),"Oct 5, 2020",Twenty20
799,Kings XI,CSK,CSK,10 wickets,Dubai (DICS),"Oct 4, 2020",Twenty20
800,MI,SRH,MI,34 runs,Sharjah,"Oct 4, 2020",Twenty20
801,DC,KKR,DC,18 runs,Sharjah,"Oct 3, 2020",Twenty20
802,RCB,RR,RCB,8 wickets,Abu Dhabi,"Oct 3, 2020",Twenty20
803,CSK,SRH,SRH,7 runs,Dubai (DICS),"Oct 2, 2020",Twenty20
804,Kings XI,MI,MI,48 runs,Abu Dhabi,"Oct 1, 2020",Twenty20
805,RR,KKR,KKR,37 runs,Dubai (DICS),"Sep 30, 2020",Twenty20
806,DC,SRH,SRH,15 runs,Abu Dhabi,"Sep 29, 2020",Twenty20
807,RCB,MI,tied,-,Dubai (DICS),"Sep 28, 2020",Twenty20
808,RR,Kings XI,RR,4 wickets,Sharjah,"Sep 27, 2020",Twenty20
809,KKR,SRH,KKR,7 wickets,Abu Dhabi,"Sep 26, 2020",Twenty20
810,CSK,DC,DC,44 runs,Dubai (DICS),"Sep 25, 2020",Twenty20
811,Kings XI,RCB,Kings XI,97 runs,Dubai (DICS),"Sep 24, 2020",Twenty20
812,KKR,MI,MI,49 runs,Abu Dhabi,"Sep 23, 2020",Twenty20
813,RR,CSK,RR,16 runs,Sharjah,"Sep 22, 2020",Twenty20
814,SRH,RCB,RCB,10 runs,Dubai (DICS),"Sep 21, 2020",Twenty20
815,DC,Kings XI,tied,-,Dubai (DICS),"Sep 20, 2020",Twenty20
816,MI,CSK,CSK,5 wickets,Abu Dhabi,"Sep 19, 2020",Twenty20
817,CSK,KKR,CSK,27 runs,Dubai (DICS),"Oct 15, 2021",Twenty20
818,DC,KKR,KKR,3 wickets,Sharjah,"Oct 13, 2021",Twenty20
819,RCB,KKR,KKR,4 wickets,Sharjah,"Oct 11, 2021",Twenty20
820,DC,CSK,CSK,4 wickets,Dubai (DICS),"Oct 10, 2021",Twenty20
821,RCB,DC,RCB,7 wickets,Dubai (DICS),"Oct 8, 2021",Twenty20
822,SRH,MI,MI,42 runs,Abu Dhabi,"Oct 8, 2021",Twenty20
823,KKR,RR,KKR,86 runs,Sharjah,"Oct 7, 2021",Twenty20
824,CSK,Punjab Kings,Punjab Kings,6 wickets,Dubai (DICS),"Oct 7, 2021",Twenty20
825,RCB,SRH,SRH,4 runs,Abu Dhabi,"Oct 6, 2021",Twenty20
826,RR,MI,MI,8 wickets,Sharjah,"Oct 5, 2021",Twenty20
827,DC,CSK,DC,3 wickets,Dubai (DICS),"Oct 4, 2021",Twenty20
828,KKR,SRH,KKR,6 wickets,Dubai (DICS),"Oct 3, 2021",Twenty20
829,RCB,Punjab Kings,RCB,6 runs,Sharjah,"Oct 3, 2021",Twenty20
830,RR,CSK,RR,7 wickets,Abu Dhabi,"Oct 2, 2021",Twenty20
831,MI,DC,DC,4 wickets,Sharjah,"Oct 2, 2021",Twenty20
832,KKR,Punjab Kings,Punjab Kings,5 wickets,Dubai (DICS),"Oct 1, 2021",Twenty20
833,SRH,CSK,CSK,6 wickets,Sharjah,"Sep 30, 2021",Twenty20
834,RR,RCB,RCB,7 wickets,Dubai (DICS),"Sep 29, 2021",Twenty20
835,MI,Punjab Kings,MI,6 wickets,Abu Dhabi,"Sep 28, 2021",Twenty20
836,KKR,DC,KKR,3 wickets,Sharjah,"Sep 28, 2021",Twenty20
837,SRH,RR,SRH,7 wickets,Dubai (DICS),"Sep 27, 2021",Twenty20
838,RCB,MI,RCB,54 runs,Dubai (DICS),"Sep 26, 2021",Twenty20
839,CSK,KKR,CSK,2 wickets,Abu Dhabi,"Sep 26, 2021",Twenty20
840,SRH,Punjab Kings,Punjab Kings,5 runs,Sharjah,"Sep 25, 2021",Twenty20
841,DC,RR,DC,33 runs,Abu Dhabi,"Sep 25, 2021",Twenty20
842,RCB,CSK,CSK,6 wickets,Sharjah,"Sep 24, 2021",Twenty20
843,MI,KKR,KKR,7 wickets,Abu Dhabi,"Sep 23, 2021",Twenty20
844,DC,SRH,DC,8 wickets,Dubai (DICS),"Sep 22, 2021",Twenty20
845,Punjab Kings,RR,RR,2 runs,Dubai (DICS),"Sep 21, 2021",Twenty20
846,KKR,RCB,KKR,9 wickets,Abu Dhabi,"Sep 20, 2021",Twenty20
847,CSK,MI,CSK,20 runs,Dubai (DICS),"Sep 19, 2021",Twenty20
848,Punjab Kings,DC,DC,7 wickets,Ahmedabad,"May 2, 2021",Twenty20
849,RR,SRH,RR,55 runs,Delhi,"May 2, 2021",Twenty20
850,MI,CSK,MI,4 wickets,Delhi,"May 1, 2021",Twenty20
851,Punjab Kings,RCB,Punjab Kings,34 runs,Ahmedabad,"Apr 30, 2021",Twenty20
852,DC,KKR,DC,7 wickets,Ahmedabad,"Apr 29, 2021",Twenty20
853,MI,RR,MI,7 wickets,Delhi,"Apr 29, 2021",Twenty20
854,CSK,SRH,CSK,7 wickets,Delhi,"Apr 28, 2021",Twenty20
855,DC,RCB,RCB,1 run,Ahmedabad,"Apr 27, 2021",Twenty20
856,Punjab Kings,KKR,KKR,5 wickets,Ahmedabad,"Apr 26, 2021",Twenty20
857,SRH,DC,tied,-,Chennai,"Apr 25, 2021",Twenty20
858,CSK,RCB,CSK,69 runs,Wankhede,"Apr 25, 2021",Twenty20
859,RR,KKR,RR,6 wickets,Wankhede,"Apr 24, 2021",Twenty20
860,Punjab Kings,MI,Punjab Kings,9 wickets,Chennai,"Apr 23, 2021",Twenty20
861,RCB,RR,RCB,10 wickets,Wankhede,"Apr 22, 2021",Twenty20
862,KKR,CSK,CSK,18 runs,Wankhede,"Apr 21, 2021",Twenty20
863,Punjab Kings,SRH,SRH,9 wickets,Chennai,"Apr 21, 2021",Twenty20
864,DC,MI,DC,6 wickets,Chennai,"Apr 20, 2021",Twenty20
865,CSK,RR,CSK,45 runs,Wankhede,"Apr 19, 2021",Twenty20
866,DC,Punjab Kings,DC,6 wickets,Wankhede,"Apr 18, 2021",Twenty20
867,RCB,KKR,RCB,38 runs,Chennai,"Apr 18, 2021",Twenty20
868,MI,SRH,MI,13 runs,Chennai,"Apr 17, 2021",Twenty20
869,Punjab Kings,CSK,CSK,6 wickets,Wankhede,"Apr 16, 2021",Twenty20
870,RR,DC,RR,3 wickets,Wankhede,"Apr 15, 2021",Twenty20
871,SRH,RCB,RCB,6 runs,Chennai,"Apr 14, 2021",Twenty20
872,KKR,MI,MI,10 runs,Chennai,"Apr 13, 2021",Twenty20
873,RR,Punjab Kings,Punjab Kings,4 runs,Wankhede,"Apr 12, 2021",Twenty20
874,SRH,KKR,KKR,10 runs,Chennai,"Apr 11, 2021",Twenty20
875,CSK,DC,DC,7 wickets,Wankhede,"Apr 10, 2021",Twenty20
876,MI,RCB,RCB,2 wickets,Chennai,"Apr 9, 2021",Twenty20
877,GT,RR,GT,7 wickets,Ahmedabad,"May 29, 2022",Twenty20
878,RR,RCB,RR,7 wickets,Ahmedabad,"May 27, 2022",Twenty20
879,LSG,RCB,RCB,14 runs,Eden Gardens,"May 25, 2022",Twenty20
880,GT,RR,GT,7 wickets,Eden Gardens,"May 24, 2022",Twenty20
881,SRH,Punjab Kings,Punjab Kings,5 wickets,Wankhede,"May 22, 2022",Twenty20
882,MI,DC,MI,5 wickets,Wankhede,"May 21, 2022",Twenty20
883,RR,CSK,RR,5 wickets,Brabourne,"May 20, 2022",Twenty20
884,RCB,GT,RCB,8 wickets,Wankhede,"May 19, 2022",Twenty20
885,KKR,LSG,LSG,2 runs,DY Patil,"May 18, 2022",Twenty20
886,MI,SRH,SRH,3 runs,Wankhede,"May 17, 2022",Twenty20
887,Punjab Kings,DC,DC,17 runs,DY Patil,"May 16, 2022",Twenty20
888,LSG,RR,RR,24 runs,Brabourne,"May 15, 2022",Twenty20
889,CSK,GT,GT,7 wickets,Wankhede,"May 15, 2022",Twenty20
890,KKR,SRH,KKR,54 runs,Pune,"May 14, 2022",Twenty20
891,RCB,Punjab Kings,Punjab Kings,54 runs,Brabourne,"May 13, 2022",Twenty20
892,CSK,MI,MI,5 wickets,Wankhede,"May 12, 2022",Twenty20
893,RR,DC,DC,8 wickets,DY Patil,"May 11, 2022",Twenty20
894,LSG,GT,GT,62 runs,Pune,"May 10, 2022",Twenty20
895,MI,KKR,KKR,52 runs,DY Patil,"May 9, 2022",Twenty20
896,CSK,DC,CSK,91 runs,DY Patil,"May 8, 2022",Twenty20
897,SRH,RCB,RCB,67 runs,Wankhede,"May 8, 2022",Twenty20
898,LSG,KKR,LSG,75 runs,Pune,"May 7, 2022",Twenty20
899,Punjab Kings,RR,RR,6 wickets,Wankhede,"May 7, 2022",Twenty20
900,GT,MI,MI,5 runs,Brabourne,"May 6, 2022",Twenty20
901,DC,SRH,DC,21 runs,Brabourne,"May 5, 2022",Twenty20
902,RCB,CSK,RCB,13 runs,Pune,"May 4, 2022",Twenty20
903,GT,Punjab Kings,Punjab Kings,8 wickets,DY Patil,"May 3, 2022",Twenty20
904,KKR,RR,KKR,7 wickets,Wankhede,"May 2, 2022",Twenty20
905,SRH,CSK,CSK,13 runs,Pune,"May 1, 2022",Twenty20
906,DC,LSG,LSG,6 runs,Wankhede,"May 1, 2022",Twenty20
907,RR,MI,MI,5 wickets,DY Patil,"Apr 30, 2022",Twenty20
908,GT,RCB,GT,6 wickets,Brabourne,"Apr 30, 2022",Twenty20
909,Punjab Kings,LSG,LSG,20 runs,Pune,"Apr 29, 2022",Twenty20
910,DC,KKR,DC,4 wickets,Wankhede,"Apr 28, 2022",Twenty20
911,GT,SRH,GT,5 wickets,Wankhede,"Apr 27, 2022",Twenty20
912,RCB,RR,RR,29 runs,Pune,"Apr 26, 2022",Twenty20
913,Punjab Kings,CSK,Punjab Kings,11 runs,Wankhede,"Apr 25, 2022",Twenty20
914,LSG,MI,LSG,36 runs,Wankhede,"Apr 24, 2022",Twenty20
915,RCB,SRH,SRH,9 wickets,Brabourne,"Apr 23, 2022",Twenty20
916,KKR,GT,GT,8 runs,DY Patil,"Apr 23, 2022",Twenty20
917,DC,RR,RR,15 runs,Wankhede,"Apr 22, 2022",Twenty20
918,MI,CSK,CSK,3 wickets,DY Patil,"Apr 21, 2022",Twenty20
919,DC,Punjab Kings,DC,9 wickets,Brabourne,"Apr 20, 2022",Twenty20
920,LSG,RCB,RCB,18 runs,DY Patil,"Apr 19, 2022",Twenty20
921,RR,KKR,RR,7 runs,Brabourne,"Apr 18, 2022",Twenty20
922,GT,CSK,GT,3 wickets,Pune,"Apr 17, 2022",Twenty20
923,Punjab Kings,SRH,SRH,7 wickets,DY Patil,"Apr 17, 2022",Twenty20
924,DC,RCB,RCB,16 runs,Wankhede,"Apr 16, 2022",Twenty20
925,MI,LSG,LSG,18 runs,Brabourne,"Apr 16, 2022",Twenty20
926,SRH,KKR,SRH,7 wickets,Brabourne,"Apr 15, 2022",Twenty20
927,RR,GT,GT,37 runs,DY Patil,"Apr 14, 2022",Twenty20
928,MI,Punjab Kings,Punjab Kings,12 runs,Pune,"Apr 13, 2022",Twenty20
929,CSK,RCB,CSK,23 runs,DY Patil,"Apr 12, 2022",Twenty20
930,SRH,GT,SRH,8 wickets,DY Patil,"Apr 11, 2022",Twenty20
931,RR,LSG,RR,3 runs,Wankhede,"Apr 10, 2022",Twenty20
932,KKR,DC,DC,44 runs,Brabourne,"Apr 10, 2022",Twenty20
933,RCB,MI,RCB,7 wickets,Pune,"Apr 9, 2022",Twenty20
934,CSK,SRH,SRH,8 wickets,DY Patil,"Apr 9, 2022",Twenty20
935,Punjab Kings,GT,GT,6 wickets,Brabourne,"Apr 8, 2022",Twenty20
936,LSG,DC,LSG,6 wickets,DY Patil,"Apr 7, 2022",Twenty20
937,KKR,MI,KKR,5 wickets,Pune,"Apr 6, 2022",Twenty20
938,RR,RCB,RCB,4 wickets,Wankhede,"Apr 5, 2022",Twenty20
939,SRH,LSG,LSG,12 runs,DY Patil,"Apr 4, 2022",Twenty20
940,CSK,Punjab Kings,Punjab Kings,54 runs,Brabourne,"Apr 3, 2022",Twenty20
941,GT,DC,GT,14 runs,Pune,"Apr 2, 2022",Twenty20
942,MI,RR,RR,23 runs,DY Patil,"Apr 2, 2022",Twenty20
943,KKR,Punjab Kings,KKR,6 wickets,Wankhede,"Apr 1, 2022",Twenty20
944,LSG,CSK,LSG,6 wickets,Brabourne,"Mar 31, 2022",Twenty20
945,RCB,KKR,RCB,3 wickets,DY Patil,"Mar 30, 2022",Twenty20
946,SRH,RR,RR,61 runs,Pune,"Mar 29, 2022",Twenty20
947,GT,LSG,GT,5 wickets,Wankhede,"Mar 28, 2022",Twenty20
948,Punjab Kings,RCB,Punjab Kings,5 wickets,DY Patil,"Mar 27, 2022",Twenty20
949,DC,MI,DC,4 wickets,Brabourne,"Mar 27, 2022",Twenty20
950,CSK,KKR,KKR,6 wickets,Wankhede,"Mar 26, 2022",Twenty20
951,GT,CSK,CSK,5 wickets,Ahmedabad,"May 28-29, 2023",Twenty20
952,GT,MI,GT,62 runs,Ahmedabad,"May 26, 2023",Twenty20
953,LSG,MI,MI,81 runs,Chennai,"May 24, 2023",Twenty20
954,CSK,GT,CSK,15 runs,Chennai,"May 23, 2023",Twenty20
955,RCB,GT,GT,6 wickets,Bengaluru,"May 21, 2023",Twenty20
956,MI,SRH,MI,8 wickets,Wankhede,"May 21, 2023",Twenty20
957,KKR,LSG,LSG,1 run,Eden Gardens,"May 20, 2023",Twenty20
958,DC,CSK,CSK,77 runs,Delhi,"May 20, 2023",Twenty20
959,Punjab Kings,RR,RR,4 wickets,Dharamsala,"May 19, 2023",Twenty20
960,SRH,RCB,RCB,8 wickets,Hyderabad,"May 18, 2023",Twenty20
961,Punjab Kings,DC,DC,15 runs,Dharamsala,"May 17, 2023",Twenty20
962,LSG,MI,LSG,5 runs,Lucknow,"May 16, 2023",Twenty20
963,GT,SRH,GT,34 runs,Ahmedabad,"May 15, 2023",Twenty20
964,CSK,KKR,KKR,6 wickets,Chennai,"May 14, 2023",Twenty20
965,RR,RCB,RCB,112 runs,Jaipur,"May 14, 2023",Twenty20
966,DC,Punjab Kings,Punjab Kings,31 runs,Delhi,"May 13, 2023",Twenty20
967,SRH,LSG,LSG,7 wickets,Hyderabad,"May 13, 2023",Twenty20
968,MI,GT,MI,27 runs,Wankhede,"May 12, 2023",Twenty20
969,KKR,RR,RR,9 wickets,Eden Gardens,"May 11, 2023",Twenty20
970,CSK,DC,CSK,27 runs,Chennai,"May 10, 2023",Twenty20
971,MI,RCB,MI,6 wickets,Wankhede,"May 9, 2023",Twenty20
972,KKR,Punjab Kings,KKR,5 wickets,Eden Gardens,"May 8, 2023",Twenty20
973,RR,SRH,SRH,4 wickets,Jaipur,"May 7, 2023",Twenty20
974,GT,LSG,GT,56 runs,Ahmedabad,"May 7, 2023",Twenty20
975,DC,RCB,DC,7 wickets,Delhi,"May 6, 2023",Twenty20
976,CSK,MI,CSK,6 wickets,Chennai,"May 6, 2023",Twenty20
977,RR,GT,GT,9 wickets,Jaipur,"May 5, 2023",Twenty20
978,SRH,KKR,KKR,5 runs,Hyderabad,"May 4, 2023",Twenty20
979,Punjab Kings,MI,MI,6 wickets,Mohali,"May 3, 2023",Twenty20
980,LSG,CSK,no result,-,Lucknow,"May 3, 2023",Twenty20
981,GT,DC,DC,5 runs,Ahmedabad,"May 2, 2023",Twenty20
982,LSG,RCB,RCB,18 runs,Lucknow,"May 1, 2023",Twenty20
983,MI,RR,MI,6 wickets,Wankhede,"Apr 30, 2023",Twenty20
984,CSK,Punjab Kings,Punjab Kings,4 wickets,Chennai,"Apr 30, 2023",Twenty20
985,DC,SRH,SRH,9 runs,Delhi,"Apr 29, 2023",Twenty20
986,KKR,GT,GT,7 wickets,Eden Gardens,"Apr 29, 2023",Twenty20
987,Punjab Kings,LSG,LSG,56 runs,Mohali,"Apr 28, 2023",Twenty20
988,RR,CSK,RR,32 runs,Jaipur,"Apr 27, 2023",Twenty20
989,RCB,KKR,KKR,21 runs,Bengaluru,"Apr 26, 2023",Twenty20
990,GT,MI,GT,55 runs,Ahmedabad,"Apr 25, 2023",Twenty20
991,SRH,DC,DC,7 runs,Hyderabad,"Apr 24, 2023",Twenty20
992,KKR,CSK,CSK,49 runs,Eden Gardens,"Apr 23, 2023",Twenty20
993,RCB,RR,RCB,7 runs,Bengaluru,"Apr 23, 2023",Twenty20
994,MI,Punjab Kings,Punjab Kings,13 runs,Wankhede,"Apr 22, 2023",Twenty20
995,LSG,GT,GT,7 runs,Lucknow,"Apr 22, 2023",Twenty20
996,CSK,SRH,CSK,7 wickets,Chennai,"Apr 21, 2023",Twenty20
997,DC,KKR,DC,4 wickets,Delhi,"Apr 20, 2023",Twenty20
998,Punjab Kings,RCB,RCB,24 runs,Mohali,"Apr 20, 2023",Twenty20
999,RR,LSG,LSG,10 runs,Jaipur,"Apr 19, 2023",Twenty20
1000,SRH,MI,MI,14 runs,Hyderabad,"Apr 18, 2023",Twenty20
1001,RCB,CSK,CSK,8 runs,Bengaluru,"Apr 17, 2023",Twenty20
1002,GT,RR,RR,3 wickets,Ahmedabad,"Apr 16, 2023",Twenty20
1003,MI,KKR,MI,5 wickets,Wankhede,"Apr 16, 2023",Twenty20
1004,LSG,Punjab Kings,Punjab Kings,2 wickets,Lucknow,"Apr 15, 2023",Twenty20
1005,RCB,DC,RCB,23 runs,Bengaluru,"Apr 15, 2023",Twenty20
1006,KKR,SRH,SRH,23 runs,Eden Gardens,"Apr 14, 2023",Twenty20
1007,Punjab Kings,GT,GT,6 wickets,Mohali,"Apr 13, 2023",Twenty20
1008,CSK,RR,RR,3 runs,Chennai,"Apr 12, 2023",Twenty20
1009,DC,MI,MI,6 wickets,Delhi,"Apr 11, 2023",Twenty20
1010,RCB,LSG,LSG,1 wicket,Bengaluru,"Apr 10, 2023",Twenty20
1011,SRH,Punjab Kings,SRH,8 wickets,Hyderabad,"Apr 9, 2023",Twenty20
1012,GT,KKR,KKR,3 wickets,Ahmedabad,"Apr 9, 2023",Twenty20
1013,MI,CSK,CSK,7 wickets,Wankhede,"Apr 8, 2023",Twenty20
1014,RR,DC,RR,57 runs,Guwahati,"Apr 8, 2023",Twenty20
1015,LSG,SRH,LSG,5 wickets,Lucknow,"Apr 7, 2023",Twenty20
1016,KKR,RCB,KKR,81 runs,Eden Gardens,"Apr 6, 2023",Twenty20
1017,RR,Punjab Kings,Punjab Kings,5 runs,Guwahati,"Apr 5, 2023",Twenty20
1018,DC,GT,GT,6 wickets,Delhi,"Apr 4, 2023",Twenty20
1019,CSK,LSG,CSK,12 runs,Chennai,"Apr 3, 2023",Twenty20
1020,RCB,MI,RCB,8 wickets,Bengaluru,"Apr 2, 2023",Twenty20
1021,SRH,RR,RR,72 runs,Hyderabad,"Apr 2, 2023",Twenty20
1022,LSG,DC,LSG,50 runs,Lucknow,"Apr 1, 2023",Twenty20
1023,Punjab Kings,KKR,Punjab Kings,7 runs,Mohali,"Apr 1, 2023",Twenty20
1024,GT,CSK,GT,5 wickets,Ahmedabad,"Mar 31, 2023",Twenty20
1025,KKR,SRH,KKR,8 wickets,Chennai,"May 26, 2024",Twenty20
1026,RR,SRH,SRH,36 runs,Chennai,"May 24, 2024",Twenty20
1027,RR,RCB,RR,4 wickets,Ahmedabad,"May 22, 2024",Twenty20
1028,KKR,SRH,KKR,8 wickets,Ahmedabad,"May 21, 2024",Twenty20
1029,RR,KKR,no result,-,Guwahati,"May 19, 2024",Twenty20
1030,SRH,Punjab Kings,SRH,4 wickets,Hyderabad,"May 19, 2024",Twenty20
1031,RCB,CSK,RCB,27 runs,Bengaluru,"May 18, 2024",Twenty20
1032,MI,LSG,LSG,18 runs,Wankhede,"May 17, 2024",Twenty20
1033,RR,Punjab Kings,Punjab Kings,5 wickets,Guwahati,"May 15, 2024",Twenty20
1034,DC,LSG,DC,19 runs,Delhi,"May 14, 2024",Twenty20
1035,RCB,DC,RCB,47 runs,Bengaluru,"May 12, 2024",Twenty20
1036,CSK,RR,CSK,5 wickets,Chennai,"May 12, 2024",Twenty20
1037,KKR,MI,KKR,18 runs,Eden Gardens,"May 11, 2024",Twenty20
1038,GT,CSK,GT,35 runs,Ahmedabad,"May 10, 2024",Twenty20
1039,Punjab Kings,RCB,RCB,60 runs,Dharamsala,"May 9, 2024",Twenty20
1040,SRH,LSG,SRH,10 wickets,Hyderabad,"May 8, 2024",Twenty20
1041,DC,RR,DC,20 runs,Delhi,"May 7, 2024",Twenty20
1042,MI,SRH,MI,7 wickets,Wankhede,"May 6, 2024",Twenty20
1043,LSG,KKR,KKR,98 runs,Lucknow,"May 5, 2024",Twenty20
1044,Punjab Kings,CSK,CSK,28 runs,Dharamsala,"May 5, 2024",Twenty20
1045,RCB,GT,RCB,4 wickets,Bengaluru,"May 4, 2024",Twenty20
1046,MI,KKR,KKR,24 runs,Wankhede,"May 3, 2024",Twenty20
1047,SRH,RR,SRH,1 run,Hyderabad,"May 2, 2024",Twenty20
1048,CSK,Punjab Kings,Punjab Kings,7 wickets,Chennai,"May 1, 2024",Twenty20
1049,LSG,MI,LSG,4 wickets,Lucknow,"Apr 30, 2024",Twenty20
1050,KKR,DC,KKR,7 wickets,Eden Gardens,"Apr 29, 2024",Twenty20
1051,CSK,SRH,CSK,78 runs,Chennai,"Apr 28, 2024",Twenty20
1052,GT,RCB,RCB,9 wickets,Ahmedabad,"Apr 28, 2024",Twenty20
1053,LSG,RR,RR,7 wickets,Lucknow,"Apr 27, 2024",Twenty20
1054,DC,MI,DC,10 runs,Delhi,"Apr 27, 2024",Twenty20
1055,KKR,Punjab Kings,Punjab Kings,8 wickets,Eden Gardens,"Apr 26, 2024",Twenty20
1056,SRH,RCB,RCB,35 runs,Hyderabad,"Apr 25, 2024",Twenty20
1057,DC,GT,DC,4 runs,Delhi,"Apr 24, 2024",Twenty20
1058,CSK,LSG,LSG,6 wickets,Chennai,"Apr 23, 2024",Twenty20
1059,RR,MI,RR,9 wickets,Jaipur,"Apr 22, 2024",Twenty20
1060,Punjab Kings,GT,GT,3 wickets,Mullanpur,"Apr 21, 2024",Twenty20
1061,KKR,RCB,KKR,1 run,Eden Gardens,"Apr 21, 2024",Twenty20
1062,DC,SRH,SRH,67 runs,Delhi,"Apr 20, 2024",Twenty20
1063,LSG,CSK,LSG,8 wickets,Lucknow,"Apr 19, 2024",Twenty20
1064,Punjab Kings,MI,MI,9 runs,Mullanpur,"Apr 18, 2024",Twenty20
1065,GT,DC,DC,6 wickets,Ahmedabad,"Apr 17, 2024",Twenty20
1066,KKR,RR,RR,2 wickets,Eden Gardens,"Apr 16, 2024",Twenty20
1067,RCB,SRH,SRH,25 runs,Bengaluru,"Apr 15, 2024",Twenty20
1068,MI,CSK,CSK,20 runs,Wankhede,"Apr 14, 2024",Twenty20
1069,KKR,LSG,KKR,8 wickets,Eden Gardens,"Apr 14, 2024",Twenty20
1070,Punjab Kings,RR,RR,3 wickets,Mullanpur,"Apr 13, 2024",Twenty20
1071,LSG,DC,DC,6 wickets,Lucknow,"Apr 12, 2024",Twenty20
1072,MI,RCB,MI,7 wickets,Wankhede,"Apr 11, 2024",Twenty20
1073,RR,GT,GT,3 wickets,Jaipur,"Apr 10, 2024",Twenty20
1074,Punjab Kings,SRH,SRH,2 runs,Mullanpur,"Apr 9, 2024",Twenty20
1075,CSK,KKR,CSK,7 wickets,Chennai,"Apr 8, 2024",Twenty20
1076,LSG,GT,LSG,33 runs,Lucknow,"Apr 7, 2024",Twenty20
1077,MI,DC,MI,29 runs,Wankhede,"Apr 7, 2024",Twenty20
1078,RR,RCB,RR,6 wickets,Jaipur,"Apr 6, 2024",Twenty20
