,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
511,MI,Kings XI,Kings XI,18 runs,Wankhede,"Apr 12, 2015",Twenty20
512,Daredevils,RR,RR,3 wickets,Delhi,"Apr 12, 2015",Twenty20
513,KKR,RCB,RCB,3 wickets,Eden Gardens,"Apr 11, 2015",Twenty20
514,CSK,SRH,CSK,45 runs,Chennai,"Apr 11, 2015",Twenty20
515,Kings XI,RR,RR,26 runs,Pune,"Apr 10, 2015",Twenty20
516,CSK,Daredevils,CSK,1 run,Chennai,"Apr 9, 2015",Twenty20
517,KKR,MI,KKR,7 wickets,Eden Gardens,"Apr 8, 2015",Twenty20
518,RCB,SRH,SRH,8 runs,Bengaluru,"May 29, 2016",Twenty20
519,Guj Lions,SRH,SRH,4 wickets,Delhi,"May 27, 2016",Twenty20
520,KKR,SRH,SRH,22 runs,Delhi,"May 25, 2016",Twenty20
521,RCB,Guj Lions,RCB,4 wickets,Bengaluru,"May 24, 2016",Twenty20
522,Daredevils,RCB,RCB,6 wickets,Raipur,"May 22, 2016",Twenty20
523,KKR,SRH,KKR,22 runs,Eden Gardens,"May 22, 2016",Twenty20
524,Guj Lions,MI,Guj Lions,6 wickets,Kanpur,"May 21, 2016",Twenty20
525,Supergiants,Kings XI,Supergiants,4 wickets,Visakhapatnam,"May 21, 2016",Twenty20
526,Daredevils,SRH,Daredevils,6 wickets,Raipur,"May 20, 2016",Twenty20
527,Guj Lions,KKR,Guj Lions,6 wickets,Kanpur,"May 19, 2016",Twenty20
528,RCB,Kings XI,RCB,82 runs,Bengaluru,"May 18, 2016",Twenty20
529,Supergiants,Daredevils,Supergiants,19 runs,Visakhapatnam,"May 17, 2016",Twenty20
530,KKR,RCB,RCB,9 wickets,Eden Gardens,"May 16, 2016",Twenty20
531,MI,Daredevils,MI,80 runs,Visakhapatnam,"May 15, 2016",Twenty20
532,Kings XI,SRH,SRH,7 wickets,Mohali,"May 15, 2016",Twenty20
533,KKR,Supergiants,KKR,8 wickets,Eden Gardens,"May 14, 2016",Twenty20
534,RCB,Guj Lions,RCB,144 runs,Bengaluru,"May 14, 2016",Twenty20
535,MI,Kings XI,Kings XI,7 wickets,Visakhapatnam,"May 13, 2016",Twenty20
536,SRH,Daredevils,Daredevils,7 wickets,Hyderabad,"May 12, 2016",Twenty20
537,RCB,MI,MI,6 wickets,Bengaluru,"May 11, 2016",Twenty20
538,Supergiants,SRH,SRH,4 runs,Visakhapatnam,"May 10, 2016",Twenty20
539,Kings XI,RCB,RCB,1 run,Mohali,"May 9, 2016",Twenty20
540,KKR,Guj Lions,Guj Lions,5 wickets,Eden Gardens,"May 8, 2016",Twenty20
541,MI,SRH,SRH,85 runs,Visakhapatnam,"May 8, 2016",Twenty20
542,Kings XI,Daredevils,Kings XI,9 runs,Mohali,"May 7, 2016",Twenty20
543,RCB,Supergiants,RCB,7 wickets,Bengaluru,"May 7, 2016",Twenty20
544,SRH,Guj Lions,SRH,5 wickets,Hyderabad,"May 6, 2016",Twenty20
545,Daredevils,Supergiants,Supergiants,7 wickets,Delhi,"May 5, 2016",Twenty20
546,KKR,Kings XI,KKR,7 runs,Eden Gardens,"May 4, 2016",Twenty20
547,Guj Lions,Daredevils,Daredevils,8 wickets,Rajkot,"May 3, 2016",Twenty20
548,RCB,KKR,KKR,5 wickets,Bengaluru,"May 2, 2016",Twenty20
549,Supergiants,MI,MI,8 wickets,Pune,"May 1, 2016",Twenty20
550,Guj Lions,Kings XI,Kings XI,23 runs,Rajkot,"May 1, 2016",Twenty20
551,SRH,RCB,SRH,15 runs,Hyderabad,"Apr 30, 2016",Twenty20
552,Daredevils,KKR,Daredevils,27 runs,Delhi,"Apr 30, 2016",Twenty20
553,Supergiants,Guj Lions,Guj Lions,3 wickets,Pune,"Apr 29, 2016",Twenty20
554,MI,KKR,MI,6 wickets,Wankhede,"Apr 28, 2016",Twenty20
555,Daredevils,Guj Lions,Guj Lions,1 run,Delhi,"Apr 27, 2016",Twenty20
556,SRH,Supergiants,Supergiants,34 runs,Hyderabad,"Apr 26, 2016",Twenty20
557,Kings XI,MI,MI,25 runs,Mohali,"Apr 25, 2016",Twenty20
558,Supergiants,KKR,KKR,2 wickets,Pune,"Apr 24, 2016",Twenty20
559,Guj Lions,RCB,Guj Lions,6 wickets,Rajkot,"Apr 24, 2016",Twenty20
560,SRH,Kings XI,SRH,5 wickets,Hyderabad,"Apr 23, 2016",Twenty20
561,Daredevils,MI,Daredevils,10 runs,Delhi,"Apr 23, 2016",Twenty20
562,Supergiants,RCB,RCB,13 runs,Pune,"Apr 22, 2016",Twenty20
563,Guj Lions,SRH,SRH,10 wickets,Rajkot,"Apr 21, 2016",Twenty20
564,MI,RCB,MI,6 wickets,Wankhede,"Apr 20, 2016",Twenty20
565,Kings XI,KKR,KKR,6 wickets,Mohali,"Apr 19, 2016",Twenty20
566,SRH,MI,SRH,7 wickets,Hyderabad,"Apr 18, 2016",Twenty20
567,RCB,Daredevils,Daredevils,7 wickets,Bengaluru,"Apr 17, 2016",Twenty20
568,Kings XI,Supergiants,Kings XI,6 wickets,Mohali,"Apr 17, 2016",Twenty20
569,MI,Guj Lions,Guj Lions,3 wickets,Wankhede,"Apr 16, 2016",Twenty20
570,SRH,KKR,KKR,8 wickets,Hyderabad,"Apr 16, 2016",Twenty20
571,Daredevils,Kings XI,Daredevils,8 wickets,Delhi,"Apr 15, 2016",Twenty20
572,Guj Lions,Supergiants,Guj Lions,7 wickets,Rajkot,"Apr 14, 2016",Twenty20
573,KKR,MI,MI,6 wickets,Eden Gardens,"Apr 13, 2016",Twenty20
